FID,NUMPOINTS,voronoi_ar,ward_id
"4376",1,"74401","1"
"3667",1,"64391","1"
"902",1,"2282","2"
"928",1,"789","2"
"911",1,"8118","2"
"3882",1,"18633","2"
"1112",1,"3183","2"
"381",1,"7103","2"
"878",1,"20820","2"
"512",1,"1296","2"
"1131",1,"6583","2"
"426",1,"5482","2"
"472",1,"2909","2"
"482",1,"1477","2"
"521",1,"1384","2"
"1282",1,"10058","2"
"3754",1,"2223","2"
"466",1,"1236","2"
"406",1,"2445","2"
"839",1,"3121","2"
"535",1,"992","2"
"497",1,"2360","2"
"527",1,"474","2"
"3732",1,"3287","2"
"820",1,"5118","2"
"3755",1,"3591","2"
"575",1,"3031","2"
"617",1,"9455","2"
"529",1,"346","2"
"552",1,"533","2"
"725",1,"4789","2"
"610",1,"4401","2"
"3865",1,"13766","2"
"1126",1,"4837","2"
"708",1,"8781","2"
"773",1,"8683","2"
"3734",1,"2760","2"
"528",1,"637","2"
"858",1,"6967","2"
"560",1,"277","2"
"1141",1,"5150","2"
"921",1,"14348","2"
"530",1,"3157","2"
"556",1,"2845","2"
"1013",1,"8737","2"
"1051",1,"7451","2"
"871",1,"2250","2"
"894",1,"5311","2"
"868",1,"1338","2"
"3735",1,"3313","2"
"1138",1,"6360","2"
"3886",1,"12925","2"
"850",1,"11615","2"
"3736",1,"6435","2"
"1005",1,"5270","2"
"3738",1,"7143","2"
"3760",1,"5630","2"
"713",1,"11228","2"
"1323",1,"9085","2"
"558",1,"5091","2"
"517",1,"1651","2"
"649",1,"4992","2"
"498",1,"1116","2"
"3857",1,"8958","2"
"628",1,"1940","2"
"499",1,"1062","2"
"1018",1,"11283","2"
"621",1,"4010","2"
"1135",1,"6691","2"
"3885",1,"9290","2"
"3832",1,"17238","2"
"685",1,"4385","2"
"655",1,"1231","2"
"571",1,"3515","2"
"1624",1,"8366","2"
"3888",1,"11925","2"
"658",1,"1589","2"
"689",1,"6627","2"
"3822",1,"15996","2"
"640",1,"1573","2"
"1148",1,"10183","2"
"606",1,"3985","2"
"662",1,"1777","2"
"502",1,"8400","2"
"1504",1,"5924","2"
"866",1,"19462","2"
"579",1,"6000","2"
"641",1,"4233","2"
"3793",1,"5068","2"
"1440",1,"11108","2"
"3914",1,"7196","2"
"721",1,"9890","2"
"1293",1,"2594","2"
"1367",1,"9206","2"
"1273",1,"406","2"
"3958",1,"4530","2"
"1042",1,"11137","2"
"988",1,"8139","2"
"1269",1,"1833","2"
"3915",1,"3404","2"
"779",1,"11013","2"
"3796",1,"4164","2"
"3795",1,"3630","2"
"3920",1,"4793","2"
"1175",1,"15589","2"
"993",1,"3022","2"
"1027",1,"5134","2"
"522",1,"15718","2"
"981",1,"2221","2"
"593",1,"8013","2"
"1060",1,"9610","2"
"965",1,"11454","2"
"666",1,"2473","2"
"717",1,"3538","2"
"1044",1,"2775","2"
"735",1,"4214","2"
"3918",1,"6136","2"
"1701",1,"6236","2"
"677",1,"5027","2"
"852",1,"28519","2"
"790",1,"8838","2"
"1526",1,"11676","2"
"3788",1,"4987","2"
"984",1,"23430","2"
"1528",1,"5265","2"
"1281",1,"3067","2"
"731",1,"5874","2"
"1496",1,"5936","2"
"3965",1,"12035","2"
"543",1,"9339","2"
"598",1,"6701","2"
"722",1,"1618","2"
"694",1,"5418","2"
"1054",1,"13328","2"
"1192",1,"11747","2"
"3919",1,"4801","2"
"1358",1,"5923","2"
"645",1,"4474","2"
"500",1,"8056","2"
"435",1,"6087","2"
"524",1,"2269","2"
"1216",1,"4583","2"
"1359",1,"1009","2"
"3910",1,"3857","2"
"1147",1,"12636","2"
"706",1,"9356","2"
"569",1,"6676","2"
"1222",1,"5874","2"
"506",1,"3145","2"
"650",1,"5105","2"
"1483",1,"3517","2"
"1541",1,"5823","2"
"1362",1,"3577","2"
"1079",1,"5697","2"
"518",1,"3075","2"
"533",1,"1793","2"
"1559",1,"3822","2"
"1427",1,"5105","2"
"1256",1,"4466","2"
"3753",1,"6706","2"
"1335",1,"3583","2"
"1384",1,"5141","2"
"3876",1,"25460","2"
"520",1,"3929","2"
"1088",1,"7306","2"
"3767",1,"11342","2"
"3972",1,"2201","2"
"832",1,"18057","2"
"539",1,"3510","2"
"3973",1,"1266","2"
"531",1,"9658","2"
"710",1,"11155","2"
"1336",1,"4894","2"
"1170",1,"13081","2"
"3941",1,"5138","2"
"1403",1,"3773","2"
"668",1,"26882","2"
"1364",1,"9207","2"
"548",1,"13248","2"
"1267",1,"11732","2"
"3933",1,"4362","2"
"716",1,"25934","2"
"3913",1,"7580","2"
"1503",1,"1354","3"
"1487",1,"2597","3"
"1587",1,"1317","3"
"1531",1,"2624","3"
"1495",1,"2951","3"
"1544",1,"1119","3"
"1616",1,"1326","3"
"1566",1,"954","3"
"1583",1,"1414","3"
"1670",1,"980","3"
"1623",1,"1628","3"
"1525",1,"9669","3"
"1549",1,"3810","3"
"1602",1,"619","3"
"1645",1,"1523","3"
"1676",1,"1961","3"
"1641",1,"2043","3"
"1599",1,"2656","3"
"1720",1,"1525","3"
"4008",1,"840","3"
"1687",1,"3719","3"
"1436",1,"9388","3"
"4005",1,"2595","3"
"1630",1,"3894","3"
"1425",1,"2748","3"
"1510",1,"6766","3"
"1540",1,"2576","3"
"1568",1,"1465","3"
"1700",1,"1677","3"
"4007",1,"2543","3"
"1577",1,"1376","3"
"1606",1,"1478","3"
"1636",1,"803","3"
"1619",1,"609","3"
"1629",1,"1375","3"
"1711",1,"2616","3"
"3951",1,"3630","3"
"3940",1,"5504","3"
"1530",1,"4319","3"
"1463",1,"3044","3"
"1468",1,"2032","3"
"1490",1,"5084","3"
"1721",1,"2717","3"
"1661",1,"3234","3"
"1806",1,"1453","3"
"4019",1,"1775","3"
"1722",1,"1487","3"
"1621",1,"2270","3"
"1353",1,"2404","3"
"1723",1,"2221","3"
"1609",1,"969","3"
"1693",1,"1807","3"
"1669",1,"1964","3"
"1392",1,"5213","3"
"1464",1,"8620","3"
"1601",1,"1968","3"
"1322",1,"1534","3"
"1363",1,"2998","3"
"1758",1,"6823","3"
"4003",1,"2862","3"
"1828",1,"9030","3"
"1581",1,"3602","3"
"1666",1,"2826","3"
"1401",1,"6272","3"
"3977",1,"4068","3"
"1524",1,"6579","3"
"1328",1,"6412","3"
"1291",1,"4848","3"
"1652",1,"4141","3"
"3992",1,"4532","3"
"1247",1,"2303","3"
"1435",1,"7033","3"
"1486",1,"3977","3"
"1902",1,"5955","3"
"3964",1,"5480","3"
"1268",1,"1789","3"
"1657",1,"3783","3"
"3996",1,"13426","3"
"1903",1,"7765","3"
"1482",1,"2989","3"
"1542",1,"1136","3"
"1537",1,"3021","3"
"1455",1,"5662","3"
"1574",1,"2510","3"
"1674",1,"3112","3"
"1603",1,"2256","3"
"1626",1,"2162","3"
"1411",1,"10162","3"
"3947",1,"3524","3"
"1262",1,"4755","3"
"1546",1,"1643","3"
"1575",1,"1798","3"
"3924",1,"8593","3"
"3907",1,"11670","3"
"1522",1,"4725","3"
"1974",1,"1623","3"
"1467",1,"6514","3"
"1919",1,"6025","3"
"3970",1,"3602","3"
"1686",1,"2986","3"
"1678",1,"3648","3"
"1119",1,"15012","3"
"4060",1,"2574","3"
"1554",1,"4669","3"
