ZONE_,DAN,DAS,AREA,VDC_CODE,P_CODE,DIST_ID,DIST_NAME,CONSTITUEN,ILAKA,CON_CODE,IL_CODE,OCHA_VNAME,VDC_NAME,WARD_NO,HLCIT_CODE,CBS_CODE,Shape_Leng,Shape_Area,NUMPOINTS,population,ward_area,ward_id
BAGMATI,,"0",725118.08600000001,C-BAG-27-028,C-BAG-27-028-01,C-BAG-27,Kathmandu,2.00000000000,"2",C-BAG-27-C2,C-BAG-27-I02,Jorpati,Jorpati,"1",524 2 05 27 5 012 1,"27025",0.03526838793,0.00006633573,2,"3159","724770","1"
BAGMATI,,"0",1375201.78099999996,C-BAG-27-031,C-BAG-27-031-01,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"1",524 2 05 27 1 001 1,"27028",0.05925037356,0.00012580773,181,"3159","1374582","2"
BAGMATI,,"0",1574559.35899999994,C-BAG-27-031,C-BAG-27-031-10,C-BAG-27,Kathmandu,1.00000000000,"4",C-BAG-27-C1,C-BAG-27-I04,Kathmandu M.N.P.,Kathmandu M.N.P.,"10",524 2 05 27 1 001 10,"27028",0.06308599761,0.00014401680,269,"10827","1573840","3"
BAGMATI,,"0",1736303.64100000006,C-BAG-27-031,C-BAG-27-031-11,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"11",524 2 05 27 1 001 11,"27028",0.05867252646,0.00015881406,244,"4216","1735526","4"
BAGMATI,,"0",492055.95299999998,C-BAG-27-031,C-BAG-27-031-12,C-BAG-27,Kathmandu,7.00000000000,"15",C-BAG-27-C7,C-BAG-27-I15,Kathmandu M.N.P.,Kathmandu M.N.P.,"12",524 2 05 27 1 001 12,"27028",0.03399829465,0.00004500821,39,"4036","491840","5"
BAGMATI,,"0",2135798.89800000004,C-BAG-27-031,C-BAG-27-031-13,C-BAG-27,Kathmandu,6.00000000000,"13",C-BAG-27-C6,C-BAG-27-I13,Kathmandu M.N.P.,Kathmandu M.N.P.,"13",524 2 05 27 1 001 13,"27028",0.06528879636,0.00019537296,1,"4449","2134877","6"
BAGMATI,,"0",357355.38299999997,C-BAG-27-031,C-BAG-27-031-17,C-BAG-27,Kathmandu,5.00000000000,"11",C-BAG-27-C5,C-BAG-27-I11,Kathmandu M.N.P.,Kathmandu M.N.P.,"17",524 2 05 27 1 001 17,"27028",0.02944194832,0.00003269209,5,"6530","357198","7"
BAGMATI,,"0",199309.67199999999,C-BAG-27-031,C-BAG-27-031-18,C-BAG-27,Kathmandu,5.00000000000,"11",C-BAG-27-C5,C-BAG-27-I11,Kathmandu M.N.P.,Kathmandu M.N.P.,"18",524 2 05 27 1 001 18,"27028",0.01927517652,0.00001823310,1,"4792","199222","8"
BAGMATI,,"0",133805.85200000001,C-BAG-27-031,C-BAG-27-031-19,C-BAG-27,Kathmandu,6.00000000000,"13",C-BAG-27-C6,C-BAG-27-I13,Kathmandu M.N.P.,Kathmandu M.N.P.,"19",524 2 05 27 1 001 19,"27028",0.01602488840,0.00001224034,0,"5533","133747","9"
BAGMATI,,"0",841688.58600000001,C-BAG-27-031,C-BAG-27-031-02,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"2",524 2 05 27 1 001 2,"27028",0.04135019875,0.00007700536,137,"3779","841309","10"
BAGMATI,,"0",156486.14100000000,C-BAG-27-031,C-BAG-27-031-20,C-BAG-27,Kathmandu,6.00000000000,"13",C-BAG-27-C6,C-BAG-27-I13,Kathmandu M.N.P.,Kathmandu M.N.P.,"20",524 2 05 27 1 001 20,"27028",0.01542107657,0.00001431470,3,"7508","156418","11"
BAGMATI,,"0",131555.11700000000,C-BAG-27-031,C-BAG-27-031-21,C-BAG-27,Kathmandu,7.00000000000,"15",C-BAG-27-C7,C-BAG-27-I15,Kathmandu M.N.P.,Kathmandu M.N.P.,"21",524 2 05 27 1 001 21,"27028",0.01781968848,0.00001203359,21,"16174","131497","12"
BAGMATI,,"0",286412.74200000003,C-BAG-27-031,C-BAG-27-031-22,C-BAG-27,Kathmandu,7.00000000000,"15",C-BAG-27-C7,C-BAG-27-I15,Kathmandu M.N.P.,Kathmandu M.N.P.,"22",524 2 05 27 1 001 22,"27028",0.02082360277,0.00002619916,42,"54410","286286","13"
BAGMATI,,"0",117227.26600000000,C-BAG-27-031,C-BAG-27-031-23,C-BAG-27,Kathmandu,6.00000000000,"13",C-BAG-27-C6,C-BAG-27-I13,Kathmandu M.N.P.,Kathmandu M.N.P.,"23",524 2 05 27 1 001 23,"27028",0.01381471753,0.00001072331,21,"26169","117176","14"
BAGMATI,,"0",78748.90600000000,C-BAG-27-031,C-BAG-27-031-24,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"24",524 2 05 27 1 001 24,"27028",0.01242999961,0.00000720367,15,"24425","78714","15"
BAGMATI,,"0",116860.99200000000,C-BAG-27-031,C-BAG-27-031-25,C-BAG-27,Kathmandu,5.00000000000,"11",C-BAG-27-C5,C-BAG-27-I11,Kathmandu M.N.P.,Kathmandu M.N.P.,"25",524 2 05 27 1 001 25,"27028",0.01554572383,0.00001069007,12,"3361","116810","16"
BAGMATI,,"0",82387.62500000000,C-BAG-27-031,C-BAG-27-031-26,C-BAG-27,Kathmandu,5.00000000000,"11",C-BAG-27-C5,C-BAG-27-I11,Kathmandu M.N.P.,Kathmandu M.N.P.,"26",524 2 05 27 1 001 26,"27028",0.01261652704,0.00000753671,2,"4103","82351","17"
BAGMATI,,"0",80601.26600000000,C-BAG-27-031,C-BAG-27-031-27,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"27",524 2 05 27 1 001 27,"27028",0.01150538246,0.00000737331,3,"5135","80566","18"
BAGMATI,,"0",47505.59400000000,C-BAG-27-031,C-BAG-27-031-28,C-BAG-27,Kathmandu,5.00000000000,"11",C-BAG-27-C5,C-BAG-27-I11,Kathmandu M.N.P.,Kathmandu M.N.P.,"28",524 2 05 27 1 001 28,"27028",0.00866821874,0.00000434580,1,"84567","47485","19"
BAGMATI,,"0",1936450.60199999996,C-BAG-27-031,C-BAG-27-031-29,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"29",524 2 05 27 1 001 29,"27028",0.08605292666,0.00017717278,90,"4774","1935589","20"
BAGMATI,,"0",228839.46900000001,C-BAG-27-031,C-BAG-27-031-30,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"30",524 2 05 27 1 001 30,"27028",0.02157308233,0.00002093445,46,"48463","228738","21"
BAGMATI,,"0",941532.40599999996,C-BAG-27-031,C-BAG-27-031-31,C-BAG-27,Kathmandu,4.00000000000,"9",C-BAG-27-C4,C-BAG-27-I09,Kathmandu M.N.P.,Kathmandu M.N.P.,"31",524 2 05 27 1 001 31,"27028",0.03658473309,0.00008612754,112,"975453","941111","22"
BAGMATI,,"0",1301654.04700000002,C-BAG-27-031,C-BAG-27-031-32,C-BAG-27,Kathmandu,3.00000000000,"6",C-BAG-27-C3,C-BAG-27-I06,Kathmandu M.N.P.,Kathmandu M.N.P.,"32",524 2 05 27 1 001 32,"27028",0.04971856968,0.00011906458,178,"10761","1301064","23"
BAGMATI,,"0",918875.92200000002,C-BAG-27-031,C-BAG-27-031-33,C-BAG-27,Kathmandu,3.00000000000,"6",C-BAG-27-C3,C-BAG-27-I06,Kathmandu M.N.P.,Kathmandu M.N.P.,"33",524 2 05 27 1 001 33,"27028",0.04291744128,0.00008405712,138,"65602","918457","24"
BAGMATI,,"0",2333389.25000000000,C-BAG-27-031,C-BAG-27-031-34,C-BAG-27,Kathmandu,1.00000000000,"4",C-BAG-27-C1,C-BAG-27-I04,Kathmandu M.N.P.,Kathmandu M.N.P.,"34",524 2 05 27 1 001 34,"27028",0.07240965143,0.00021341939,588,"5629","2332311","25"
BAGMATI,,"0",4343365.92999999970,C-BAG-27-031,C-BAG-27-031-35,C-BAG-27,Kathmandu,1.00000000000,"4",C-BAG-27-C1,C-BAG-27-I04,Kathmandu M.N.P.,Kathmandu M.N.P.,"35",524 2 05 27 1 001 35,"27028",0.14901316316,0.00039723097,419,"3849","4341325","26"
BAGMATI,,"0",2859446.96900000004,C-BAG-27-031,C-BAG-27-031-04,C-BAG-27,Kathmandu,3.00000000000,"6",C-BAG-27-C3,C-BAG-27-I06,Kathmandu M.N.P.,Kathmandu M.N.P.,"4",524 2 05 27 1 001 4,"27028",0.08212470253,0.00026162372,149,"7323","2858133","27"
BAGMATI,,"0",711426.50800000003,C-BAG-27-031,C-BAG-27-031-05,C-BAG-27,Kathmandu,3.00000000000,"6",C-BAG-27-C3,C-BAG-27-I06,Kathmandu M.N.P.,Kathmandu M.N.P.,"5",524 2 05 27 1 001 5,"27028",0.04061745866,0.00006508484,157,"5467","711100","28"
BAGMATI,,"0",3395194.42199999979,C-BAG-27-031,C-BAG-27-031-06,C-BAG-27,Kathmandu,2.00000000000,"2",C-BAG-27-C2,C-BAG-27-I02,Kathmandu M.N.P.,Kathmandu M.N.P.,"6",524 2 05 27 1 001 6,"27028",0.09367304975,0.00031062407,199,"2388","3393581","29"
BAGMATI,,"0",1545094.99200000009,C-BAG-27-031,C-BAG-27-031-07,C-BAG-27,Kathmandu,2.00000000000,"2",C-BAG-27-C2,C-BAG-27-I02,Kathmandu M.N.P.,Kathmandu M.N.P.,"7",524 2 05 27 1 001 7,"27028",0.07827617049,0.00014135193,251,"2915","1544377","30"
BAGMATI,,"0",1807798.39100000006,C-BAG-27-031,C-BAG-27-031-08,C-BAG-27,Kathmandu,2.00000000000,"2",C-BAG-27-C2,C-BAG-27-I02,Kathmandu M.N.P.,Kathmandu M.N.P.,"8",524 2 05 27 1 001 8,"27028",0.06869610110,0.00016537450,141,"15421","1806949","31"
BAGMATI,,"0",3757393.54699999979,C-BAG-27-031,C-BAG-27-031-09,C-BAG-27,Kathmandu,2.00000000000,"2",C-BAG-27-C2,C-BAG-27-I02,Kathmandu M.N.P.,Kathmandu M.N.P.,"9",524 2 05 27 1 001 9,"27028",0.12373695327,0.00034368516,278,"4365","3755631","32"
BAGMATI,,"0",363614.31300000002,C-BAG-27-037,C-BAG-27-037-08,C-BAG-27,Kathmandu,3.00000000000,"5",C-BAG-27-C3,C-BAG-27-I05,Mahankal,Mahankal,"8",524 2 05 27 5 021 8,"27034",0.03576947244,0.00003326881,5,"15421","363445","33"
BAGMATI,,"0",1262452.35199999996,C-BAG-26-012,C-BAG-26-012-15,C-BAG-26,Bhaktapur,2.00000000000,"11",C-BAG-26-C2,C-BAG-26-I11,Madhyapur Thimi N.P.,Madhyapur Thimi N.P.,"15",524 2 05 26 3 002 15,"26012",0.07280591793,0.00011544779,8,"9876","1261844","34"
BAGMATI,,"0",865300.35900000005,C-BAG-26-012,C-BAG-26-012-16,C-BAG-26,Bhaktapur,2.00000000000,"11",C-BAG-26-C2,C-BAG-26-I11,Madhyapur Thimi N.P.,Madhyapur Thimi N.P.,"16",524 2 05 26 3 002 16,"26012",0.04257033321,0.00007913140,38,"4790","864891","35"
BAGMATI,,"0",2657012.75799999991,C-BAG-26-012,C-BAG-26-012-17,C-BAG-26,Bhaktapur,2.00000000000,"11",C-BAG-26-C2,C-BAG-26-I11,Madhyapur Thimi N.P.,Madhyapur Thimi N.P.,"17",524 2 05 26 3 002 17,"26012",0.07519330870,0.00024299521,6,"7254","2655732","36"
BAGMATI,,"0",153502.21100000001,C-BAG-25-023,C-BAG-25-023-04,C-BAG-25,Lalitpur,2.00000000000,"5",C-BAG-25-C2,C-BAG-25-I05,Imadol,Imadol,"4",524 2 05 25 5 032 4,"25023",0.01591502487,0.00001403718,0,,"153431","37"
BAGMATI,,"0",481023.90600000002,C-BAG-25-027,C-BAG-25-027-01,C-BAG-25,Lalitpur,3.00000000000,"1",C-BAG-25-C3,C-BAG-25-I01,Lalitpur U.M.N.P.,Lalitpur U.M.N.P.,"1",524 2 05 25 2 001 1,"25027",0.03159494968,0.00004399556,55,"1411","480810","38"
BAGMATI,,"0",761883.71900000004,C-BAG-25-027,C-BAG-25-027-10,C-BAG-25,Lalitpur,3.00000000000,"1",C-BAG-25-C3,C-BAG-25-I01,Lalitpur U.M.N.P.,Lalitpur U.M.N.P.,"10",524 2 05 25 2 001 10,"25027",0.03883194184,0.00006968116,134,"4753","761542","39"
BAGMATI,,"0",100480.48400000000,C-BAG-25-027,C-BAG-25-027-11,C-BAG-25,Lalitpur,2.00000000000,"7",C-BAG-25-C2,C-BAG-25-I07,Lalitpur U.M.N.P.,Lalitpur U.M.N.P.,"11",524 2 05 25 2 001 11,"25027",0.01243859946,0.00000918895,14,"1884","100435","40"
BAGMATI,,"0",80498.29700000001,C-BAG-25-027,C-BAG-25-027-16,C-BAG-25,Lalitpur,2.00000000000,"5",C-BAG-25-C2,C-BAG-25-I05,Lalitpur U.M.N.P.,Lalitpur U.M.N.P.,"16",524 2 05 25 2 001 16,"25027",0.01086436083,0.00000736177,14,"2669","80462","41"
